id,number_of_vertices,asymmetric_depth,degree_sequence,graph_representation,g6string
1,8,2,"(5, 5, 3, 3, 3, 3, 3, 1)","{1: [5, 6, 7], 2: [8, 5, 7], 3: [8, 6, 7], 4: [8], 5: [1, 2, 7], 6: [1, 3, 8], 7: [1, 2, 3, 5, 8], 8: [2, 3, 4, 6, 7]}",GBH@}[
2,8,2,"(5, 5, 5, 3, 3, 3, 3, 1)","{1: [8, 5, 6], 2: [8, 5, 7], 3: [8, 6, 7], 4: [7], 5: [1, 2, 6, 7, 8], 6: [1, 3, 5], 7: [2, 3, 4, 5, 8], 8: [1, 2, 3, 5, 7]}",GI@X|[
3,8,2,"(6, 4, 4, 4, 4, 2, 2, 2)","{1: [8, 5, 6, 7], 2: [5, 7], 3: [8, 6], 4: [8, 7], 5: [1, 2, 8, 6], 6: [1, 3, 5, 8], 7: [1, 2, 4, 8], 8: [1, 3, 4, 5, 6, 7]}",G?U\b{
4,8,2,"(4, 4, 4, 4, 2, 2, 2, 2)","{1: [8, 4, 6, 7], 2: [5, 7], 3: [6, 7], 4: [1, 6], 5: [2, 8], 6: [1, 3, 4, 8], 7: [1, 2, 3, 8], 8: [1, 5, 6, 7]}",G_gqW{
5,8,2,"(4, 4, 4, 4, 4, 2, 2, 2)","{1: [8, 4, 6, 7], 2: [8, 5, 6, 7], 3: [8, 7], 4: [1, 6], 5: [2, 7], 6: [1, 2, 4, 8], 7: [1, 2, 3, 5], 8: [1, 2, 3, 6]}",GAc{rK
6,8,2,"(5, 5, 5, 3, 3, 3, 3, 3)","{1: [8, 4, 6], 2: [5, 6, 7], 3: [8, 5, 7], 4: [1, 8, 7], 5: [2, 3, 6], 6: [1, 2, 5, 7, 8], 7: [2, 3, 4, 6, 8], 8: [1, 3, 4, 6, 7]}",GK`q|[
7,8,2,"(5, 5, 5, 5, 3, 3, 3, 3)","{1: [4, 6, 7], 2: [5, 6, 7], 3: [8, 5, 6], 4: [1, 8, 7], 5: [2, 3, 6, 7, 8], 6: [1, 2, 3, 5, 8], 7: [1, 2, 4, 5, 8], 8: [3, 4, 5, 6, 7]}",G_yqx{
8,8,2,"(6, 4, 4, 4, 4, 4, 2, 2)","{1: [8, 4, 5, 6], 2: [8, 5, 6, 7], 3: [6, 7], 4: [1, 8], 5: [1, 2, 8, 7], 6: [1, 2, 3, 8], 7: [2, 3, 5, 8], 8: [1, 2, 4, 5, 6, 7]}",G@h\b{
9,9,2,"(6, 4, 4, 4, 4, 2, 2, 2, 0)","{1: [8, 9, 6, 7], 2: [8, 6], 3: [9, 7], 4: [8, 9], 5: [], 6: [1, 2, 9, 7], 7: [1, 3, 6, 9], 8: [1, 2, 4, 9], 9: [1, 3, 4, 6, 7, 8]}",H??iYo~
10,9,2,"(6, 4, 4, 4, 4, 2, 2, 2, 2)","{1: [8, 9, 6, 7], 2: [9, 6], 3: [8, 7], 4: [9, 7], 5: [8, 9], 6: [1, 2, 8, 9], 7: [1, 3, 4, 9], 8: [1, 3, 5, 6], 9: [1, 2, 4, 5, 6, 7]}",H?MQG^j
